ID	Treatment	OTU1	OTU10	OTU106	OTU107	OTU11	OTU116	OTU12	OTU13	OTU135	OTU14	OTU140	OTU15	OTU151	OTU16	OTU161	OTU169	OTU17	OTU18	OTU19	OTU2	OTU20	OTU207	OTU21	OTU22	OTU224	OTU23	OTU24	OTU25	OTU26	OTU27	OTU28	OTU284	OTU29	OTU3	OTU30	OTU31	OTU32	OTU33	OTU34	OTU35	OTU36	OTU37	OTU38	OTU39	OTU4	OTU40	OTU401	OTU41	OTU42	OTU43	OTU432	OTU44	OTU45	OTU46	OTU47	OTU48	OTU49	OTU5	OTU50	OTU51	OTU52	OTU53	OTU54	OTU55	OTU552	OTU56	OTU57	OTU58	OTU59	OTU6	OTU60	OTU61	OTU62	OTU63	OTU64	OTU65	OTU66	OTU67	OTU68	OTU69	OTU7	OTU70	OTU71	OTU711	OTU72	OTU73	OTU74	OTU75	OTU76	OTU77	OTU79	OTU8	OTU80	OTU82	OTU83	OTU85	OTU9	OTU92	OTU98	OTU99
M1W6	AX	-0.608404968	-0.608404968	-0.608404968	4.024557236	5.840340573	2.135363316	5.730991872	6.370486339	3.872026228	-0.608404968	-0.608404968	-0.608404968	-0.608404968	-0.608404968	4.590092064	-0.608404968	6.2652293	4.747752399	-0.608404968	6.149689537	4.109281886	1.256379637	4.7128296	4.876391966	4.216995439	6.011789444	5.22347751	4.202300097	3.892414294	4.658046392	1.504559266	4.495334217	5.310244477	5.740575079	2.909901822	5.674880801	-0.608404968	-0.608404968	2.733492672	4.059313123	4.461642092	2.010979596	5.559873573	3.892414294	7.159974564	4.076248329	-0.608404968	3.531839583	-0.608404968	4.076248329	-0.608404968	-0.608404968	3.502468896	-0.608404968	1.703229961	4.600087149	4.85349894	5.438537289	-0.608404968	3.95119713	4.024557236	5.608201133	-0.608404968	3.148557854	-0.608404968	4.402836203	3.148557854	4.527928086	4.076248329	-0.608404968	-0.608404968	4.906122881	-0.608404968	1.504559266	1.868897083	-0.608404968	-0.608404968	-0.608404968	-0.608404968	1.868897083	3.05980785	3.105167099	-0.608404968	-0.608404968	-0.608404968	-0.608404968	1.256379637	3.786044187	3.786044187	3.012292974	-0.608404968	5.25496791	-0.608404968	2.345557893	1.703229961	6.166442101	6.02622839	3.375515777	5.074246725	3.472209402
M9W6	AX	-0.396586167	5.174876302	-0.396586167	2.730971499	-0.396586167	-0.396586167	4.42881424	6.872713997	3.620615519	3.007636936	-0.396586167	-0.396586167	-0.396586167	-0.396586167	2.730971499	-0.396586167	-0.396586167	-0.396586167	-0.396586167	3.853206934	-0.396586167	-0.396586167	4.304720304	4.993315438	-0.396586167	3.007636936	2.347182117	5.103186711	2.557376694	5.619792698	-0.396586167	-0.396586167	2.457791988	7.361747301	2.347182117	5.94601529	-0.396586167	-0.396586167	-0.396586167	-0.396586167	5.340279343	-0.396586167	-0.396586167	6.008041058	7.939106948	-0.396586167	2.080715883	-0.396586167	7.050900191	-0.396586167	-0.396586167	-0.396586167	-0.396586167	6.630244242	4.163015931	-0.396586167	6.568665852	-0.396586167	1.915048762	-0.396586167	-0.396586167	-0.396586167	4.879206689	-0.396586167	-0.396586167	-0.396586167	-0.396586167	3.997862988	5.610885936	6.057897447	-0.396586167	7.581849456	-0.396586167	-0.396586167	-0.396586167	-0.396586167	2.347182117	-0.396586167	-0.396586167	-0.396586167	1.468198437	-0.396586167	-0.396586167	-0.396586167	-0.396586167	-0.396586167	-0.396586167	-0.396586167	-0.396586167	5.402781932	-0.396586167	5.531793348	-0.396586167	-0.396586167	-0.396586167	3.066304784	-0.396586167	-0.396586167	-0.396586167	-0.396586167
M11W6	AX	6.024511937	6.850911294	3.331692765	-0.65222798	3.980734224	3.364973707	-0.65222798	4.953239806	2.86607881	1.212556625	1.212556625	-0.65222798	-0.65222798	-0.65222798	2.86607881	-0.65222798	6.475830457	-0.65222798	-0.65222798	6.001338615	5.767322669	2.551995569	5.538646138	4.973101432	1.659406949	4.770316263	4.712472796	4.494737816	1.212556625	3.39718261	5.017966374	4.939776123	4.334487131	6.384240284	3.261611557	2.918584308	2.091540304	-0.65222798	-0.65222798	4.18765494	5.955772646	-0.65222798	-0.65222798	4.429176385	-0.65222798	3.571282399	1.212556625	5.236649979	-0.65222798	-0.65222798	-0.65222798	-0.65222798	4.641990087	-0.65222798	-0.65222798	3.488016571	4.762254954	-0.65222798	-0.65222798	4.51567003	3.331692765	-0.65222798	-0.65222798	5.900279908	-0.65222798	-0.65222798	4.097436019	2.810662971	3.488016571	7.007414975	4.382952097	3.888161232	-0.65222798	3.186246338	4.27040371	-0.65222798	-0.65222798	-0.65222798	3.742221175	-0.65222798	2.475329687	2.623200015	-0.65222798	4.575959506	-0.65222798	-0.65222798	-0.65222798	3.848591282	-0.65222798	-0.65222798	4.854949597	5.473250798	-0.65222798	-0.65222798	3.544290207	4.695312358	3.719518725	2.091540304	-0.65222798	4.309344386
M17W6	AX	7.054793627	-0.604849327	3.618661052	4.661602032	-0.604849327	2.599374221	4.825691759	6.07873915	-0.604849327	4.95967108	3.308990209	-0.604849327	-0.604849327	-0.604849327	2.522708339	2.858041624	-0.604849327	-0.604849327	-0.604849327	7.468071776	-0.604849327	5.303974443	4.980354341	5.200011782	-0.604849327	2.014535237	3.719885195	3.992105386	6.096775937	4.973507344	-0.604849327	-0.604849327	3.10872274	-0.604849327	3.23362499	3.973603471	-0.604849327	-0.604849327	-0.604849327	5.897122611	5.931974014	2.014535237	-0.604849327	4.841496118	-0.604849327	4.633042262	4.498889858	4.785052278	-0.604849327	-0.604849327	7.184078091	-0.604849327	-0.604849327	2.439673111	2.799373775	-0.604849327	3.193699528	2.349113534	3.895969934	-0.604849327	-0.604849327	-0.604849327	1.259935277	-0.604849327	-0.604849327	-0.604849327	2.522708339	5.210908103	1.508114907	-0.604849327	-0.604849327	-0.604849327	-0.604849327	-0.604849327	3.23362499	-0.604849327	3.535395224	6.245950726	-0.604849327	4.01027119	4.857054581	-0.604849327	-0.604849327	-0.604849327	-0.604849327	5.200011782	-0.604849327	-0.604849327	3.875581868	-0.604849327	-0.604849327	6.771260495	-0.604849327	1.508114907	1.706785601	3.272017421	5.85818013	-0.604849327	-0.604849327	4.249309352
M24W6	AX	3.255214242	5.84137695	3.09191956	4.425285494	4.079653964	4.58683961	6.964182461	4.997100097	2.999045435	4.892875342	-0.621652507	-0.621652507	-0.621652507	-0.621652507	3.678720274	3.937949591	6.130086717	-0.621652507	-0.621652507	5.538979275	4.189052558	3.09191956	3.427758083	5.654820086	4.246581	-0.621652507	5.580330778	3.216821811	5.429580681	4.448394553	4.576844524	5.442344096	3.703082015	5.37230892	3.362268238	4.977106096	-0.621652507	-0.621652507	3.135310314	5.115213003	5.665022521	3.794995118	-0.621652507	4.566748528	6.865317449	4.58683961	1.855649544	3.489221357	-0.621652507	-0.621652507	-0.621652507	-0.621652507	4.743048269	2.896654283	5.612936456	5.194104923	4.870660433	-0.621652507	2.332310354	3.255214242	4.011309696	-0.621652507	-0.621652507	-0.621652507	-0.621652507	-0.621652507	5.097466308	5.073303248	3.899147439	-0.621652507	-0.621652507	2.896654283	-0.621652507	4.389588664	2.653775488	-0.621652507	2.332310354	-0.621652507	4.2037479	1.855649544	5.085457758	2.332310354	-0.621652507	5.538979275	-0.621652507	-0.621652507	-0.621652507	2.232725648	-0.621652507	-0.621652507	-0.621652507	4.824692938	-0.621652507	3.816711498	3.39554918	4.800891736	3.04656031	-0.621652507	-0.621652507	3.99346801
F6W6	MCC	5.852500517	4.446178712	3.148048965	0.963422979	3.57906957	3.209512239	6.114105947	4.962011253	3.267415532	1.211602609	3.238882926	-0.901361625	-0.901361625	5.74041377	2.502861477	3.599457636	6.07413726	-0.901361625	-0.901361625	5.488116091	4.410948296	2.766851192	3.863915493	4.704106161	-0.901361625	2.975505123	4.410948296	2.502861477	1.211602609	5.101627171	4.307130492	4.191272504	4.06021074	5.402089505	4.213360647	3.012477911	-0.901361625	-0.901361625	3.048132312	-0.901361625	4.365089734	2.302861923	-0.901361625	3.267415532	-0.901361625	4.870079498	1.718022939	5.15414416	-0.901361625	5.204040188	-0.901361625	4.886929096	4.437486785	0.963422979	3.423372897	4.145576376	2.052601236	4.935838599	-0.901361625	1.95301653	4.401943283	5.34386385	-0.901361625	-0.901361625	-0.901361625	-0.901361625	5.282037219	3.599457636	4.256125046	-0.901361625	-0.901361625	4.80574864	-0.901361625	3.179252744	-0.901361625	-0.901361625	-0.901361625	4.109879546	3.89442892	2.616945165	4.145576376	-0.901361625	4.704106161	-0.901361625	-0.901361625	-0.901361625	1.842406659	3.766356466	2.302861923	-0.901361625	4.967164575	5.515222102	-0.901361625	1.410273303	3.766356466	1.575940425	4.892483123	4.410948296	5.567324755	3.952797054
F12W6	MCC	-0.511892639	2.342485516	-0.511892639	-0.511892639	-0.511892639	-0.511892639	6.352290656	5.038597373	3.437601298	4.410739051	4.121069564	-0.511892639	-0.511892639	5.794880202	2.532629799	-0.511892639	3.245070182	-0.511892639	-0.511892639	4.861279174	6.108301772	3.472028106	6.963807283	6.006315619	-0.511892639	4.313507768	3.812841883	6.562224177	5.024367322	4.918648447	2.107491925	-0.511892639	2.830005	6.19196452	5.495579465	3.859854065	-0.511892639	-0.511892639	4.487160691	-0.511892639	4.987880239	3.472028106	-0.511892639	4.926581849	7.5146043	4.894463472	-0.511892639	4.902590294	-0.511892639	-0.511892639	1.352891965	-0.511892639	4.835647699	6.374824705	6.139326812	-0.511892639	2.692330909	-0.511892639	2.107491925	1.601071595	3.968538557	-0.511892639	-0.511892639	-0.511892639	-0.511892639	-0.511892639	-0.511892639	3.201679428	5.811325236	-0.511892639	-0.511892639	5.421316636	-0.511892639	5.341093233	-0.511892639	4.686604392	-0.511892639	-0.511892639	2.342485516	-0.511892639	5.48659266	2.692330909	-0.511892639	-0.511892639	-0.511892639	-0.511892639	-0.511892639	2.342485516	-0.511892639	-0.511892639	-0.511892639	6.173968308	4.934452806	-0.511892639	-0.511892639	2.342485516	5.827504201	2.231875645	-0.511892639	4.763900218
F15W6	MCC	-0.549764481	-0.549764481	4.586568573	3.118448337	5.388251341	3.971035466	5.132887212	6.46243271	3.971035466	-0.549764481	2.854458622	-0.549764481	-0.549764481	-0.549764481	4.100726655	-0.549764481	6.786876461	-0.549764481	-0.549764481	7.256339716	6.015628522	5.120429873	6.67153996	6.235412191	-0.549764481	5.344137352	5.388251341	4.43695063	3.971035466	4.753540427	-0.549764481	5.175304962	-0.549764481	-0.549764481	3.070933461	4.215512637	-0.549764481	-0.549764481	-0.549764481	4.888710007	6.225082588	-0.549764481	-0.549764481	5.878634478	-0.549764481	4.332348499	2.494757957	4.864718453	-0.549764481	-0.549764481	-0.549764481	-0.549764481	4.065356036	2.069620083	2.792133159	5.509995725	-0.549764481	6.511959643	3.844684674	3.750608301	4.246026065	-0.549764481	-0.549764481	-0.549764481	-0.549764481	-0.549764481	1.761870448	4.46147669	4.864718453	-0.549764481	-0.549764481	-0.549764481	-0.549764481	-0.549764481	-0.549764481	-0.549764481	-0.549764481	-0.549764481	-0.549764481	6.140625973	4.083197723	-0.549764481	-0.549764481	-0.549764481	-0.549764481	-0.549764481	-0.549764481	-0.549764481	-0.549764481	-0.549764481	-0.549764481	6.576834208	-0.549764481	3.951054781	-0.549764481	4.904390454	4.872779762	-0.549764481	-0.549764481	1.315020124
F26W6	MCC	5.387572386	-0.843445782	2.201076656	2.955103073	4.927995341	2.431982213	5.194858978	5.194858978	2.674861008	3.140474963	-0.843445782	-0.843445782	-0.843445782	4.260293403	2.955103073	3.140474963	4.814134087	4.459859126	-0.843445782	6.338560871	4.249188347	2.619445169	4.334756286	4.226601278	-0.843445782	5.732137094	4.55471692	2.619445169	-0.843445782	3.070393755	5.237319187	3.996437137	4.74855832	5.045432177	4.863664483	2.284111885	4.869686784	3.173755905	-0.843445782	4.68562249	4.587095305	3.594918223	-0.843445782	3.696943429	3.237168588	4.610709153	2.619445169	3.070393755	-0.843445782	3.636985414	-0.843445782	4.851509973	4.355051249	3.140474963	4.237958583	5.408808364	1.468189147	6.143876567	-0.843445782	4.950398967	2.913517039	6.895279983	5.249713479	5.207787406	-0.843445782	-0.843445782	4.249188347	2.201076656	3.140474963	-0.843445782	3.874241072	3.824272309	-0.843445782	1.900322502	4.801358442	3.325331375	-0.843445782	-0.843445782	3.789516422	1.775938782	2.201076656	4.355051249	4.950398967	-0.843445782	-0.843445782	-0.843445782	4.663731795	3.380064597	1.633856269	-0.843445782	-0.843445782	4.571037151	-0.843445782	2.913517039	4.079185908	3.070393755	5.576104866	2.498451858	3.789516422	2.010932373
F30W6	MCC	6.137759961	6.510448808	-0.657640704	-0.657640704	4.400918578	2.196737451	2.746582399	4.027012593	2.913171583	4.819583304	2.386881734	-0.657640704	-0.657640704	-0.657640704	3.140908151	-0.657640704	4.092023294	6.361086589	-0.657640704	4.920715967	4.251666338	3.055931363	4.834672236	3.055931363	-0.657640704	3.863159242	3.992850432	1.96174386	2.746582399	4.107636414	3.975321499	5.389301552	2.546582844	5.879182637	4.570546781	4.550851413	4.892849308	-0.657640704	-0.657640704	-0.657640704	3.482603847	4.654669218	-0.657640704	4.238161744	4.196517975	5.10240753	2.746582399	5.367566291	5.393592484	6.087702592	-0.657640704	-0.657640704	-0.657640704	2.546582844	2.805250247	5.467838074	5.873899307	4.599381071	3.219226044	1.96174386	3.901961394	5.558965397	1.45532353	-0.657640704	4.138149842	-0.657640704	4.010077387	-0.657640704	2.913171583	7.5348543	3.538877483	3.256198832	-0.657640704	-0.657640704	1.653994225	3.939314009	-0.657640704	-0.657640704	2.805250247	1.45532353	3.291853233	-0.657640704	-0.657640704	3.565869675	2.08612758	-0.657640704	-0.657640704	3.010572113	2.196737451	3.642732077	-0.657640704	6.274452357	5.615407814	1.2071439	2.469916962	3.992850432	6.206542591	-0.657640704	3.736808451	2.08612758
